,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
7484,BMW Seria 5 520d AT,27500.0,BMW,Seria 5,2017,94 500 km,Diesel,190 CP,1 995 cm3,Spate,Euro 6d-Temp,Automata,Sedan,Belgia,,Da
7485,Mercedes-Benz S 350 d BlueTEC Long Aut,48500.0,Mercedes-Benz,S,2015,90 400 km,Diesel,258 CP,2 987 cm3,Spate,,Automata,Sedan,,,
7486,Dacia Duster 1.6 16V 105 4x4 Prestige,7799.0,Dacia,Duster,2012,257 000 km,Benzina,105 CP,1 598 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,,Da
7487,Peugeot 308,4650.0,Peugeot,308,2010,192 500 km,Diesel,112 CP,1 560 cm3,Fata,Euro 5,Manuala,Cabrio,Franta,,Da
7488,Mini Cooper S,11700.0,Mini,Cooper S,2015,170 000 km,Diesel,170 CP,1 995 cm3,Fata,Euro 6,Automata,Masina mica,Franta,,Da
7489,Skoda Octavia,6000.0,Skoda,Octavia,2010,142 000 km,Benzina,105 CP,1 197 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
7490,BMW Seria 1,10450.0,BMW,Seria 1,2014,125 946 km,Diesel,143 CP,1 995 cm3,Spate,,Automata,Compacta,,,Da
7491,Dacia Logan 1.2 Ambiance,7200.0,Dacia,Logan,2017,107 000 km,Benzina,73 CP,1 149 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
7492,Volvo V40 D3 Aut. Summum,11950.0,Volvo,V40,2012,130 268 km,Diesel,150 CP,1 984 cm3,Fata,,Automata,Combi,,,Da
7493,Mitsubishi ASX,9450.0,Mitsubishi,ASX,2013,199 535 km,Diesel,149 CP,2 268 cm3,4x4 (automat),,Automata,SUV,,,Da
7494,Mitsubishi ASX 1.8 DI-D 4WD Instyle,10499.0,Mitsubishi,ASX,2015,166 000 km,Diesel,150 CP,1 798 cm3,4x4 (manual),,Manuala,SUV,,,
7495,Volkswagen Scirocco 1.4 TSI BlueMotion Technology Edition,7290.0,Volkswagen,Scirocco,2011,185 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Coupe,Germania,,
7496,Renault Koleos,5990.0,Renault,Koleos,2009,188 000 km,Diesel,150 CP,1 995 cm3,4x4 (automat),Euro 4,Automata,SUV,Germania,,Da
7497,Honda CR-V 2.2 A/T Executive HDD Navi,17450.0,Honda,CR-V,2015,148 646 km,Diesel,150 CP,2 199 cm3,4x4 (automat),,Automata,SUV,,,Da
7498,Nissan Juke DIG-T DCT N-Connecta,18949.0,Nissan,Juke,2020,25 000 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
7499,Ford Focus,30702.0,Ford,Focus,2022,2 500 km,Benzina,150 CP,999 cm3,Fata,Euro 6,Automata,Masina mica,,Da,Da
7500,Mercedes-Benz E AMG 53 4MATIC Aut.,52955.0,Mercedes-Benz,E,2020,88 399 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
7501,Volkswagen Crafter 35 2.0 BiTDI CD LWB,26000.0,Volkswagen,Crafter,2017,135 000 km,Diesel,163 CP,2 000 cm3,,,Manuala,Monovolum,,,
7502,Porsche 911 Targa 4S PDK,209916.0,Porsche,911,2023,900 km,Benzina,450 CP,2 981 cm3,4x4 (automat),Euro 6,Automata,Cabrio,Germania,,Da
7503,Citroën C2 1.4 HDi Edition 90 Jahre,2700.0,Citroën,C2,2009,132 000 km,Diesel,68 CP,1 398 cm3,Fata,Euro 4,Manuala,Masina mica,Germania,,Da
7505,Renault Megane,3950.0,Renault,Megane,2007,73 000 km,Diesel,82 CP,1 461 cm3,,,Manuala,Combi,,,
7506,BMW Seria 3 320d xDrive AT,22900.0,BMW,Seria 3,2016,128 000 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,Da
7507,Dacia Lodgy 1.2 TCe Laureate,5200.0,Dacia,Lodgy,2014,185 000 km,Benzina,115 CP,1 198 cm3,Fata,Euro 5,Manuala,Monovolum,,,
7508,BMW X6 M M50d,39900.0,BMW,X6 M,2014,130 000 km,Diesel,381 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
7509,Mercedes-Benz S 350 d BlueTEC Long Aut,48500.0,Mercedes-Benz,S,2015,90 400 km,Diesel,258 CP,2 987 cm3,Spate,,Automata,Sedan,,,
7510,Dacia Duster 1.6 16V 105 4x4 Prestige,7799.0,Dacia,Duster,2012,257 000 km,Benzina,105 CP,1 598 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,,Da
7511,Mini Cooper S,11700.0,Mini,Cooper S,2015,170 000 km,Diesel,170 CP,1 995 cm3,Fata,Euro 6,Automata,Masina mica,Franta,,Da
7512,Honda CR-V 2.2 A/T Executive HDD Navi,17450.0,Honda,CR-V,2015,148 646 km,Diesel,150 CP,2 199 cm3,4x4 (automat),,Automata,SUV,,,Da
7513,Volkswagen ARTEON 2.0 TDI DSG Elegance,44590.0,Volkswagen,ARTEON,2022,5 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,,,Da
7514,Volkswagen Crafter 35 2.0 BiTDI CD LWB,26000.0,Volkswagen,Crafter,2017,135 000 km,Diesel,163 CP,2 000 cm3,,,Manuala,Monovolum,,,
7515,Volkswagen Passat Variant 2.0 TDI SCR Business,15950.0,Volkswagen,Passat,2020,174 500 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
7516,Citroën C2 1.4 HDi Edition 90 Jahre,2700.0,Citroën,C2,2009,132 000 km,Diesel,68 CP,1 398 cm3,Fata,Euro 4,Manuala,Masina mica,Germania,,Da
7518,BMW Seria 5 520d AT,27500.0,BMW,Seria 5,2017,94 500 km,Diesel,190 CP,1 995 cm3,Spate,Euro 6d-Temp,Automata,Sedan,Belgia,,Da
7519,BMW X6 M M50d,39900.0,BMW,X6 M,2014,130 000 km,Diesel,381 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
7520,Dacia Duster 1.6 16V 105 4x4 Prestige,7799.0,Dacia,Duster,2012,257 000 km,Benzina,105 CP,1 598 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,,Da
7521,Renault Trafic 2.0 dCi 115 L2H1,6450.0,Renault,Trafic,2011,282 000 km,Diesel,114 CP,1 995 cm3,Fata,Euro 5,Manuala,Monovolum,Franta,,Da
7522,Mini Cooper S,11700.0,Mini,Cooper S,2015,170 000 km,Diesel,170 CP,1 995 cm3,Fata,Euro 6,Automata,Masina mica,Franta,,Da
7523,Skoda Octavia,6000.0,Skoda,Octavia,2010,142 000 km,Benzina,105 CP,1 197 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
7524,Dacia Logan 1.0 SCe Acces,8850.0,Dacia,Logan,2020,69 895 km,Benzina,73 CP,998 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,
7525,Mercedes-Benz Sprinter 313 CDI (BlueTec) 906.231,13804.0,Mercedes-Benz,Sprinter,2017,232 000 km,Diesel,129 CP,2 143 cm3,Spate,Euro 6,Manuala,Monovolum,Belgia,,Da
7526,Volkswagen Scirocco 1.4 TSI BlueMotion Technology Edition,7290.0,Volkswagen,Scirocco,2011,185 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Coupe,Germania,,
7527,Renault Kadjar,17448.0,Renault,Kadjar,2019,91 933 km,Diesel,116 CP,1 461 cm3,Fata,,Automata,SUV,,,Da
7528,Volkswagen Tiguan,11490.0,Volkswagen,Tiguan,2011,198 000 km,Diesel,140 CP,1 968 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,Da
7529,Nissan Juke DIG-T DCT N-Connecta,18949.0,Nissan,Juke,2020,25 000 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
7530,Mercedes-Benz GLE 400 d 4MATIC,89998.0,Mercedes-Benz,GLE,2021,40 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7531,Mercedes-Benz GLE AMG 53 MHEV 4MATIC+,89990.0,Mercedes-Benz,GLE,2020,59 980 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7532,Volkswagen Crafter 35 2.0 BiTDI CD LWB,26000.0,Volkswagen,Crafter,2017,135 000 km,Diesel,163 CP,2 000 cm3,,,Manuala,Monovolum,,,
7533,Volkswagen Passat Variant 2.0 TDI SCR Business,15950.0,Volkswagen,Passat,2020,174 500 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
7534,Citroën C2 1.4 HDi Edition 90 Jahre,2700.0,Citroën,C2,2009,132 000 km,Diesel,68 CP,1 398 cm3,Fata,Euro 4,Manuala,Masina mica,Germania,,Da
7535,Skoda Octavia Combi 1.0 TSI DSG Ambition,13190.0,Skoda,Octavia,2018,198 000 km,Benzina,116 CP,999 cm3,Fata,Euro 6,Automata,Sedan,Olanda,Da,Da
7536,Renault Megane,3950.0,Renault,Megane,2007,73 000 km,Diesel,82 CP,1 461 cm3,,,Manuala,Combi,,,
7537,Dacia Lodgy 1.2 TCe Laureate,5200.0,Dacia,Lodgy,2014,185 000 km,Benzina,115 CP,1 198 cm3,Fata,Euro 5,Manuala,Monovolum,,,
7538,Dacia Duster 1.6 16V 105 4x4 Prestige,7799.0,Dacia,Duster,2012,257 000 km,Benzina,105 CP,1 598 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,,Da
7539,Peugeot 308,4650.0,Peugeot,308,2010,192 500 km,Diesel,112 CP,1 560 cm3,Fata,Euro 5,Manuala,Cabrio,Franta,,Da
7540,Renault Trafic 2.0 dCi 115 L2H1,6450.0,Renault,Trafic,2011,282 000 km,Diesel,114 CP,1 995 cm3,Fata,Euro 5,Manuala,Monovolum,Franta,,Da
7541,Mini Cooper S,11700.0,Mini,Cooper S,2015,170 000 km,Diesel,170 CP,1 995 cm3,Fata,Euro 6,Automata,Masina mica,Franta,,Da
7542,Volkswagen Scirocco 1.4 TSI BlueMotion Technology Edition,7290.0,Volkswagen,Scirocco,2011,185 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Coupe,Germania,,
7543,Honda CR-V 2.2 A/T Executive HDD Navi,17450.0,Honda,CR-V,2015,148 646 km,Diesel,150 CP,2 199 cm3,4x4 (automat),,Automata,SUV,,,Da
7544,Mercedes-Benz GLE 400 d 4MATIC,89998.0,Mercedes-Benz,GLE,2021,40 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7545,Mercedes-Benz GLE AMG 53 MHEV 4MATIC+,89990.0,Mercedes-Benz,GLE,2020,59 980 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7546,Volkswagen Crafter 35 2.0 BiTDI CD LWB,26000.0,Volkswagen,Crafter,2017,135 000 km,Diesel,163 CP,2 000 cm3,,,Manuala,Monovolum,,,
7547,Citroën C2 1.4 HDi Edition 90 Jahre,2700.0,Citroën,C2,2009,132 000 km,Diesel,68 CP,1 398 cm3,Fata,Euro 4,Manuala,Masina mica,Germania,,Da
7548,Renault Megane,3950.0,Renault,Megane,2007,73 000 km,Diesel,82 CP,1 461 cm3,,,Manuala,Combi,,,
7549,Dacia Lodgy 1.2 TCe Laureate,5200.0,Dacia,Lodgy,2014,185 000 km,Benzina,115 CP,1 198 cm3,Fata,Euro 5,Manuala,Monovolum,,,
7550,BMW X6 M M50d,39900.0,BMW,X6 M,2014,130 000 km,Diesel,381 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
7551,Mercedes-Benz S 350 d BlueTEC Long Aut,48500.0,Mercedes-Benz,S,2015,90 400 km,Diesel,258 CP,2 987 cm3,Spate,,Automata,Sedan,,,
7552,Peugeot 308,4650.0,Peugeot,308,2010,192 500 km,Diesel,112 CP,1 560 cm3,Fata,Euro 5,Manuala,Cabrio,Franta,,Da
7553,Mini Cooper S,11700.0,Mini,Cooper S,2015,170 000 km,Diesel,170 CP,1 995 cm3,Fata,Euro 6,Automata,Masina mica,Franta,,Da
7554,Skoda Octavia,6000.0,Skoda,Octavia,2010,142 000 km,Benzina,105 CP,1 197 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
7555,Renault Koleos,5990.0,Renault,Koleos,2009,188 000 km,Diesel,150 CP,1 995 cm3,4x4 (automat),Euro 4,Automata,SUV,Germania,,Da
7556,Ford Focus,30702.0,Ford,Focus,2022,2 500 km,Benzina,150 CP,999 cm3,Fata,Euro 6,Automata,Masina mica,,Da,Da
7557,Mercedes-Benz GLE 400 d 4MATIC,89998.0,Mercedes-Benz,GLE,2021,40 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7558,Mercedes-Benz GLE AMG 53 MHEV 4MATIC+,89990.0,Mercedes-Benz,GLE,2020,59 980 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7559,Porsche 911 Targa 4S PDK,209916.0,Porsche,911,2023,900 km,Benzina,450 CP,2 981 cm3,4x4 (automat),Euro 6,Automata,Cabrio,Germania,,Da
7561,BMW X6 M M50d,39900.0,BMW,X6 M,2014,130 000 km,Diesel,381 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
7562,Dacia Duster 1.6 16V 105 4x4 Prestige,7799.0,Dacia,Duster,2012,257 000 km,Benzina,105 CP,1 598 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,,Da
7563,Renault Trafic 2.0 dCi 115 L2H1,6450.0,Renault,Trafic,2011,282 000 km,Diesel,114 CP,1 995 cm3,Fata,Euro 5,Manuala,Monovolum,Franta,,Da
7564,Skoda Octavia,6000.0,Skoda,Octavia,2010,142 000 km,Benzina,105 CP,1 197 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
7565,Dacia Logan 1.0 SCe Acces,8850.0,Dacia,Logan,2020,69 895 km,Benzina,73 CP,998 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,
7566,Mercedes-Benz CLA Shooting Brake 220 (CDI) d 7G-DCT AMG Line,20900.0,Mercedes-Benz,CLA,2017,210 000 km,Diesel,177 CP,2 143 cm3,,,Automata,Compacta,,,
7567,Volkswagen Polo 1.4 Highline,2950.0,Volkswagen,Polo,2009,165 000 km,Benzina,85 CP,1 390 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,
7568,Citroën C5 Aircross 1.5 BlueHDi S&S EAT8 Shine,23950.0,Citroën,C5 Aircross,2020,35 500 km,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,,,Da
7569,Skoda Fabia 1.2 Classic,3150.0,Skoda,Fabia,2009,170 000 km,Benzina,60 CP,1 198 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,Da
7570,Volkswagen Polo 1.2 Blue Motion Technology Life,2990.0,Volkswagen,Polo,2009,108 000 km,Benzina,70 CP,1 198 cm3,Fata,Euro 4,Manuala,Masina de oras,,,Da
7571,Ford Mondeo 2.0 TDCi Trend,3650.0,Ford,Mondeo,2010,356 000 km,Diesel,130 CP,1 997 cm3,Fata,,Manuala,Combi,,,
7572,Skoda Octavia,12988.0,Skoda,Octavia,2019,120 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6d-Temp,Automata,Combi,Romania,Da,Da
7573,Seat Alhambra,23450.0,Seat,Alhambra,2020,155 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Monovolum,Romania,Da,Da
7574,Mazda CX-5 G160 4x4 Attraction,19700.0,Mazda,CX-5,2017,90 245 km,Benzina,160 CP,1 998 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,
7575,Mercedes-Benz Sprinter 313 CDI (BlueTec) 906.231,13804.0,Mercedes-Benz,Sprinter,2017,232 000 km,Diesel,129 CP,2 143 cm3,Spate,Euro 6,Manuala,Monovolum,Belgia,,Da
7576,Renault Kadjar,17448.0,Renault,Kadjar,2019,91 933 km,Diesel,116 CP,1 461 cm3,Fata,,Automata,SUV,,,Da
7577,Volkswagen ARTEON 2.0 TDI DSG Elegance,44590.0,Volkswagen,ARTEON,2022,5 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,,,Da
7578,Volkswagen Tiguan,11490.0,Volkswagen,Tiguan,2011,198 000 km,Diesel,140 CP,1 968 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,Da
7579,Ford Focus,30702.0,Ford,Focus,2022,2 500 km,Benzina,150 CP,999 cm3,Fata,Euro 6,Automata,Masina mica,,Da,Da
7580,Mercedes-Benz E AMG 53 4MATIC Aut.,52955.0,Mercedes-Benz,E,2020,88 399 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
7581,Mercedes-Benz GLE 400 d 4MATIC,89998.0,Mercedes-Benz,GLE,2021,40 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7582,Mercedes-Benz GLE AMG 53 MHEV 4MATIC+,89990.0,Mercedes-Benz,GLE,2020,59 980 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7583,Volkswagen Crafter 35 2.0 BiTDI CD LWB,26000.0,Volkswagen,Crafter,2017,135 000 km,Diesel,163 CP,2 000 cm3,,,Manuala,Monovolum,,,
7584,Porsche 911 Targa 4S PDK,209916.0,Porsche,911,2023,900 km,Benzina,450 CP,2 981 cm3,4x4 (automat),Euro 6,Automata,Cabrio,Germania,,Da
7585,Mercedes-Benz CLA Shooting Brake 220 (CDI) d 7G-DCT AMG Line,20900.0,Mercedes-Benz,CLA,2017,210 000 km,Diesel,177 CP,2 143 cm3,,,Automata,Compacta,,,
7586,Volkswagen Polo 1.4 Highline,2950.0,Volkswagen,Polo,2009,165 000 km,Benzina,85 CP,1 390 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,
7587,Citroën C5 Aircross 1.5 BlueHDi S&S EAT8 Shine,23950.0,Citroën,C5 Aircross,2020,35 500 km,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,,,Da
7588,Skoda Fabia 1.2 Classic,3150.0,Skoda,Fabia,2009,170 000 km,Benzina,60 CP,1 198 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,Da
7589,Seat Leon 1.6 TDI Sport,4850.0,Seat,Leon,2010,211 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
7590,Ford Mondeo 2.0 TDCi Trend,3650.0,Ford,Mondeo,2010,356 000 km,Diesel,130 CP,1 997 cm3,Fata,,Manuala,Combi,,,
7591,Skoda Octavia,12988.0,Skoda,Octavia,2019,120 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6d-Temp,Automata,Combi,Romania,Da,Da
7592,Seat Alhambra,23450.0,Seat,Alhambra,2020,155 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Monovolum,Romania,Da,Da
7593,Mercedes-Benz Vito 111 CDI (BlueTEC) Tourer Lang PRO,11245.0,Mercedes-Benz,Vito,2015,249 000 km,Diesel,114 CP,1 598 cm3,Spate,Euro 6,Manuala,Monovolum,Olanda,Da,Da
7594,Mazda CX-5 G160 4x4 Attraction,19700.0,Mazda,CX-5,2017,90 245 km,Benzina,160 CP,1 998 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,
7595,Mercedes-Benz Sprinter 313 CDI (BlueTec) 906.231,13804.0,Mercedes-Benz,Sprinter,2017,232 000 km,Diesel,129 CP,2 143 cm3,Spate,Euro 6,Manuala,Monovolum,Belgia,,Da
7596,Volkswagen Scirocco 1.4 TSI BlueMotion Technology Edition,7290.0,Volkswagen,Scirocco,2011,185 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Coupe,Germania,,
7597,Renault Koleos,5990.0,Renault,Koleos,2009,188 000 km,Diesel,150 CP,1 995 cm3,4x4 (automat),Euro 4,Automata,SUV,Germania,,Da
7598,Honda CR-V 2.2 A/T Executive HDD Navi,17450.0,Honda,CR-V,2015,148 646 km,Diesel,150 CP,2 199 cm3,4x4 (automat),,Automata,SUV,,,Da
7599,Ford Focus,30702.0,Ford,Focus,2022,2 500 km,Benzina,150 CP,999 cm3,Fata,Euro 6,Automata,Masina mica,,Da,Da
7600,Volkswagen Crafter 35 2.0 BiTDI CD LWB,26000.0,Volkswagen,Crafter,2017,135 000 km,Diesel,163 CP,2 000 cm3,,,Manuala,Monovolum,,,
7601,Volkswagen Passat Variant 2.0 TDI SCR Business,15950.0,Volkswagen,Passat,2020,174 500 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
7602,Audi A6 Allroad 3.0 TDI Quattro S tronic,21500.0,Audi,A6 Allroad,2017,170 000 km,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Combi,Romania,,Da
7603,Citroën C5 Aircross 1.5 BlueHDi S&S EAT8 Shine,23950.0,Citroën,C5 Aircross,2020,35 500 km,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,,,Da
7604,Skoda Octavia 1.4 Classic,4750.0,Skoda,Octavia,2009,230 000 km,Benzina,80 CP,1 390 cm3,Fata,Euro 4,Manuala,Combi,Germania,,Da
7605,Seat Leon 1.6 TDI Sport,4850.0,Seat,Leon,2010,211 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
7606,Skoda Octavia,12988.0,Skoda,Octavia,2019,120 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6d-Temp,Automata,Combi,Romania,Da,Da
7607,Honda Civic 1.5 VTEC Turbo CVT Sport Plus,25000.0,Honda,Civic,2020,20 000 km,Benzina,182 CP,1 498 cm3,Fata,,Automata,Compacta,,,
7608,Seat Alhambra,23450.0,Seat,Alhambra,2020,155 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Monovolum,Romania,Da,Da
7609,Land Rover Discovery Sport 2.0 D165 R-Dynamic MHEV SE,65997.0,Land Rover,Discovery Sport,2023,1 km,Diesel,163 CP,1 999 cm3,4x4 (automat),Euro 6d,Automata,SUV,Regatul Unit,,Da
7610,Mercedes-Benz Vito 111 CDI (BlueTEC) Tourer Lang PRO,11245.0,Mercedes-Benz,Vito,2015,249 000 km,Diesel,114 CP,1 598 cm3,Spate,Euro 6,Manuala,Monovolum,Olanda,Da,Da
7611,Mazda CX-5 G160 4x4 Attraction,19700.0,Mazda,CX-5,2017,90 245 km,Benzina,160 CP,1 998 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,
7612,Mercedes-Benz Sprinter 313 CDI (BlueTec) 906.231,13804.0,Mercedes-Benz,Sprinter,2017,232 000 km,Diesel,129 CP,2 143 cm3,Spate,Euro 6,Manuala,Monovolum,Belgia,,Da
7613,Volkswagen Scirocco 1.4 TSI BlueMotion Technology Edition,7290.0,Volkswagen,Scirocco,2011,185 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Coupe,Germania,,
7614,Renault Koleos,5990.0,Renault,Koleos,2009,188 000 km,Diesel,150 CP,1 995 cm3,4x4 (automat),Euro 4,Automata,SUV,Germania,,Da
7615,Mercedes-Benz GLE AMG 53 MHEV 4MATIC+,89990.0,Mercedes-Benz,GLE,2020,59 980 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
7616,Volkswagen Passat Variant 2.0 TDI SCR Business,15950.0,Volkswagen,Passat,2020,174 500 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
7617,Mercedes-Benz CLA Shooting Brake 220 (CDI) d 7G-DCT AMG Line,20900.0,Mercedes-Benz,CLA,2017,210 000 km,Diesel,177 CP,2 143 cm3,,,Automata,Compacta,,,
7618,Skoda Fabia 1.2 Classic,3150.0,Skoda,Fabia,2009,170 000 km,Benzina,60 CP,1 198 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,Da
7619,Volkswagen Polo 1.2 Blue Motion Technology Life,2990.0,Volkswagen,Polo,2009,108 000 km,Benzina,70 CP,1 198 cm3,Fata,Euro 4,Manuala,Masina de oras,,,Da
7620,Honda Civic 1.5 VTEC Turbo CVT Sport Plus,25000.0,Honda,Civic,2020,20 000 km,Benzina,182 CP,1 498 cm3,Fata,,Automata,Compacta,,,
7621,Seat Alhambra,23450.0,Seat,Alhambra,2020,155 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Monovolum,Romania,Da,Da
7622,Mazda CX-5 G160 4x4 Attraction,19700.0,Mazda,CX-5,2017,90 245 km,Benzina,160 CP,1 998 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,
7623,Mercedes-Benz Sprinter 313 CDI (BlueTec) 906.231,13804.0,Mercedes-Benz,Sprinter,2017,232 000 km,Diesel,129 CP,2 143 cm3,Spate,Euro 6,Manuala,Monovolum,Belgia,,Da
7624,Volkswagen Scirocco 1.4 TSI BlueMotion Technology Edition,7290.0,Volkswagen,Scirocco,2011,185 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Manuala,Coupe,Germania,,
7625,Renault Koleos,5990.0,Renault,Koleos,2009,188 000 km,Diesel,150 CP,1 995 cm3,4x4 (automat),Euro 4,Automata,SUV,Germania,,Da
7626,Volkswagen ARTEON 2.0 TDI DSG Elegance,44590.0,Volkswagen,ARTEON,2022,5 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,,,Da
7627,Porsche 911 Targa 4S PDK,209916.0,Porsche,911,2023,900 km,Benzina,450 CP,2 981 cm3,4x4 (automat),Euro 6,Automata,Cabrio,Germania,,Da
7628,Audi A6 Allroad 3.0 TDI Quattro S tronic,21500.0,Audi,A6 Allroad,2017,170 000 km,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Combi,Romania,,Da
7629,Volkswagen Polo 1.4 Highline,2950.0,Volkswagen,Polo,2009,165 000 km,Benzina,85 CP,1 390 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,
7630,Citroën C5 Aircross 1.5 BlueHDi S&S EAT8 Shine,23950.0,Citroën,C5 Aircross,2020,35 500 km,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,,,Da
7631,Skoda Fabia 1.2 Classic,3150.0,Skoda,Fabia,2009,170 000 km,Benzina,60 CP,1 198 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,,Da
7632,Volkswagen Golf 2.0 BlueTDI DSG Comfortline,16200.0,Volkswagen,Golf,2017,104 020 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Compacta,Germania,,Da
7633,Ford Mondeo 2.0 TDCi Trend,3650.0,Ford,Mondeo,2010,356 000 km,Diesel,130 CP,1 997 cm3,Fata,,Manuala,Combi,,,
7634,Skoda Octavia,12988.0,Skoda,Octavia,2019,120 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6d-Temp,Automata,Combi,Romania,Da,Da
7635,Seat Alhambra,23450.0,Seat,Alhambra,2020,155 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Monovolum,Romania,Da,Da
7636,Land Rover Discovery Sport 2.0 D165 R-Dynamic MHEV SE,65997.0,Land Rover,Discovery Sport,2023,1 km,Diesel,163 CP,1 999 cm3,4x4 (automat),Euro 6d,Automata,SUV,Regatul Unit,,Da
