,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
4653,Audi A4 2.0 TDI Avant,9800.0,Audi,A4,2012,280 000 km,Diesel,143 CP,1 968 cm3,,,Manuala,Combi,,,
4654,Audi SQ5 3.0 TFSI quattro tiptronic,22000.0,Audi,SQ5,2015,157 000 km,Benzina,354 CP,2 995 cm3,4x4 (manual),,Automata,SUV,,,
4655,Opel Corsa 1.3 CDTI DPF (ecoFLEX) Edition,3100.0,Opel,Corsa,2010,220 000 km,Diesel,75 CP,1 248 cm3,Fata,,Manuala,Masina de oras,Germania,Da,Da
4656,Volkswagen Golf 2.0 TDI DSG R-Line,26000.0,Volkswagen,Golf,2021,55 400 km,Diesel,150 CP,1 968 cm3,Fata,,Automata,Compacta,,,
4657,Volkswagen Golf 1.6 BlueTDI Comfortline,7950.0,Volkswagen,Golf,2016,180 000 km,Diesel,110 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,,,
4658,Dacia Duster,13250.0,Dacia,Duster,2020,27 000 km,Benzina + GPL,101 CP,999 cm3,,,Manuala,SUV,,,
4659,Skoda Octavia Combi Diesel 1.6 TDI DSG Style,14950.0,Skoda,Octavia,2019,163 638 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Automata,Combi,Olanda,,Da
4660,Mercedes-Benz CLA 200 7G-DCT AMG Line,25900.0,Mercedes-Benz,CLA,2018,97 546 km,Benzina,156 CP,1 595 cm3,Fata,Euro 6,Automata,Sedan,Germania,,
4661,Porsche Cayenne Diesel Platinum Edition,26900.0,Porsche,Cayenne,2014,215 000 km,Diesel,245 CP,2 967 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,
4662,BMW Seria 7 750Li,37000.0,BMW,Seria 7,2016,43 250 km,Benzina,450 CP,4 395 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
4663,BMW Seria 7 740e iPerformance,40500.0,BMW,Seria 7,2017,134 000 km,Hibrid,258 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,Sedan,Luxemburg,Da,Da
4664,Mercedes-Benz C 300 Coupe 7G-TRONIC AMG Line,28500.0,Mercedes-Benz,C,2017,110 000 km,Benzina,245 CP,1 991 cm3,4x4 (automat),,Automata,Coupe,,,
4665,Dacia Sandero 0.9 TCe Laureate,8650.0,Dacia,Sandero,2017,75 310 km,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
4666,Audi A4 Allroad quattro 3.0 TDI S tronic,19900.0,Audi,A4 Allroad,2017,203 000 km,Diesel,218 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Combi,,Da,Da
4667,Volkswagen Passat Variant TDI,1600.0,Volkswagen,Passat,2001,296 000 km,Diesel,115 CP,1 896 cm3,,,Manuala,Combi,,,
4668,Audi SQ5 3.0 TFSI quattro tiptronic,22000.0,Audi,SQ5,2015,157 000 km,Benzina,354 CP,2 995 cm3,4x4 (manual),,Automata,SUV,,,
4669,Skoda Kodiaq 2.0 TDI 4X4 DSG SportLine,49150.0,Skoda,Kodiaq,2022,8 051 km,Diesel,200 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
4670,Opel Corsa 1.3 CDTI DPF (ecoFLEX) Edition,3100.0,Opel,Corsa,2010,220 000 km,Diesel,75 CP,1 248 cm3,Fata,,Manuala,Masina de oras,Germania,Da,Da
4671,BMW Seria 3 318d Aut.,13200.0,BMW,Seria 3,2018,144 000 km,Diesel,150 CP,1 995 cm3,Spate,Euro 6,Automata,Combi,Belgia,,
4672,Volkswagen Golf 2.0 TDI DSG R-Line,26000.0,Volkswagen,Golf,2021,55 400 km,Diesel,150 CP,1 968 cm3,Fata,,Automata,Compacta,,,
4673,Dacia Duster,13250.0,Dacia,Duster,2020,27 000 km,Benzina + GPL,101 CP,999 cm3,,,Manuala,SUV,,,
4674,Skoda Octavia Combi Diesel 1.6 TDI DSG Style,14950.0,Skoda,Octavia,2019,163 638 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Automata,Combi,Olanda,,Da
4675,Hyundai I30 1.4 CRDi Classic,7790.0,Hyundai,I30,2015,210 927 km,Diesel,90 CP,1 396 cm3,Fata,Euro 5,Manuala,Masina mica,,Da,Da
4676,Volkswagen Touareg 3.0 V6 TDI SCR Blue Motion DPF Automatik,18000.0,Volkswagen,Touareg,2015,305 276 km,Diesel,262 CP,2 967 cm3,4x4 (manual),Euro 6,Automata,SUV,Germania,,
4677,Porsche Cayenne Diesel Platinum Edition,26900.0,Porsche,Cayenne,2014,215 000 km,Diesel,245 CP,2 967 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,
4678,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC,28900.0,Mercedes-Benz,GLC,2018,177 000 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,SUV,Belgia,Da,Da
4679,BMW Seria 7 750Li,37000.0,BMW,Seria 7,2016,43 250 km,Benzina,450 CP,4 395 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
4680,Volkswagen Golf 1.9 TDI Comfortline,4500.0,Volkswagen,Golf,2006,263 000 km,Diesel,105 CP,1 896 cm3,,,Manuala,Compacta,,,
4681,Mercedes-Benz C 300 Coupe 7G-TRONIC AMG Line,28500.0,Mercedes-Benz,C,2017,110 000 km,Benzina,245 CP,1 991 cm3,4x4 (automat),,Automata,Coupe,,,
4682,Peugeot 508,6300.0,Peugeot,508,2012,160 000 km,Diesel,114 CP,1 560 cm3,Fata,Euro 5,Automata,Masina mica,Franta,,Da
4684,BMW Seria 5 520d Touring Aut.,10150.0,BMW,Seria 5,2011,248 960 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Olanda,,
